ingredient_concept_id,ingredient_name
37002917,".alpha.-chlorohydrin, (+/-)-"
740013,.alpha.-phellandrene
1536878,.alpha.-terpinene
779197,.beta.-glucogallin
1145885,.beta.-ionone
42898180,"1,1-difluoroethane"
1592753,"1,2-dipalmitoylphosphatidylcholine"
42898186,"1,3-dimethylol-5,5-dimethylhydantoin"
19097556,1-alpha-vitamin D
35605387,1-methylhydantoin
914310,1-octacosanol
43012215,1-propanol
42898192,1-vinyl-2-pyrrolidone
19077143,17-alpha-hydroxyprogesterone
35606080,2'-fucosyllactose
35604625,"2,3-dihydroxybenzoic acid"
37002294,2-butoxyethanol
43012195,2-hydroxyethyl methacrylate
1594085,2-ketogluconate
45775370,2-mercaptoethanesulfonic acid
37498874,2-methylbutyric acid
46221501,"3,3'-diindolylmethane"
43531868,3-(triethoxysilyl)propylamine
44784654,3-n-butylphthalide
1301554,3-phenyl propionic acid
1718745,4-(p-hydroxyphenyl)-2-butanone
19087067,4-aminobenzoate
19012200,4-aminomethylbenzoic acid
19012223,4-dimethylaminophenol
46234460,4-hydroxybenzoic acid
1510508,4-hydroxybenzyl alcohol
42609290,4-hydroxycyclophosphamide
42903754,4-methyl-1-(1-methylethyl)-3-cyclohexen-1-ol
35604417,4-nonylphenol
19121248,4000 CPS
1363516,5-hydroxytryptophan
19018285,5-methoxypsoralen
43531881,5-methoxytryptamine
42903683,5-methyltetrahydrofolic acid
1369939,6-aminocaproic acid
1736971,abacavir
19010868,abarelix
1186087,abatacept
19047423,abciximab
42900395,abetimus
40239056,abiraterone
19135473,acai berry extract
19042819,acai extract
42900396,acai oil
19043959,acamprosate
1529331,acarbose
1319998,acebutolol
37353185,aceclidine
19029393,aceclofenac
43532236,aceglutamide
529218,"acellular pertussis vaccine, inactivated"
19029398,acemetacin
19024063,acenocoumarol
19018226,acepromazine
19018328,aceprometazine
42898253,acesulfame
1125315,acetaminophen
19029248,acetanilide
19029306,acetate
929435,acetazolamide
19056032,acetiamine
19080248,ACETIC
929549,acetic acid
1530014,acetohexamide
929542,acetohydroxamic acid
1734446,acetoin
19032614,acetone
19029555,acetophenazine
37003333,acetophenone
739716,acetyl tetrapeptide-2
19037596,acetylcarnitine
19037624,acetylcholine
1139042,acetylcysteine
19011193,acetyldigitoxin
19020949,acetyldigoxins
43012224,acetyltributyl citrate
43531907,acid violet 43
19091149,acidulated phosphate fluoride
19029644,acipimox
929638,acitretin
19057483,aclarubicin
42873639,aclidinium
19058354,aconite
44507446,aconitine
42904012,Aconitum napellus root extract
1140123,acrivastine
19015397,activated attapulgite
1701928,activated charcoal
1703687,acyclovir
1119119,adalimumab
747260,"ADAMTS13, recombinant"
981774,adapalene
1729323,adefovir
19071966,adenine
1309204,adenosine
19015230,adenosine triphosphate
19023817,adiphenine
19018406,adipic acid
42904062,Adonis vernalis extract
19112518,adrafinil
19061053,adrenal cortex extract
35603435,adzuki bean extract
42898420,Aesculus hippocastanum leaf extract
44818465,Aesculus hippocastanum seed oil
43533090,afatinib
37498968,aflatoxin B1
40244266,aflibercept
44507611,afoxolaner
19009965,agalsidase alfa
1525746,agalsidase beta
40168516,Agkistrodon piscivorus antivenin
21234680,Agomelatine
19103572,air
19105879,ajmaline
19052489,alanine
19018154,alatrofloxacin
1753745,albendazole
44816332,albiglutide
1344143,"albumin human, USP"
19082376,"albumin,iodinated I-125 serum"
1154343,albuterol
40224159,alcaftadine
905151,alclometasone
42898435,alcloxa
19056758,alcuronium
1309770,aldesleukin
19054915,aldioxa
42903427,aldosterone
909959,alefacept
1312706,alemtuzumab
1557272,alendronate
19014202,alfacalcidol
1316327,alfalfa oil
45774409,alfaxalone
19059528,alfentanil
930021,alfuzosin
43013872,alginate
19030059,alginic acid
19057354,alglucerase
19088328,alglucosidase alfa
19055880,alibendol
1317967,aliskiren
941052,alitretinoin
19030087,alizapride
43012496,all-trans-retinol
966376,allantoin
19113034,allobarbital
1167322,allopurinol
37002600,alloxan
1330144,allyl sulfide
19068397,allylestrenol
19018431,alminoprofen
19113052,almitrine
42900339,almond oil
1103552,almotriptan
1537395,Aloe emodin
960900,aloe extract
958994,aloe polysaccharide
42900341,aloe vera leaf extract
43013884,alogliptin
19030323,aloglutamol
948555,alosetron
19018432,aloxiprin
1169352,alpha 1-antitrypsin
19056581,alpha hydroxy acids
1718620,alpha ionone
19056802,alpha tocopherol
19115053,alpha-amylase
43012295,alpha-arbutin
1146225,alpha-asarone
43012225,alpha-cyclodextrin
998598,alpha-D-galactosidase enzyme
19018434,alpha-ketoglutaric acid
43525946,alpha-tocopherylquinone
19080847,alphaprodine
35200370,Alpinia officinarum whole extract
781039,alprazolam
19081284,alprenolol
1381504,alprostadil
19081667,alseroxylon
1347450,alteplase
42898411,Althaea officinalis root extract
19018435,althiazide
1368823,altretamine
19052619,"alum, potassium"
42898412,aluminum
930604,aluminum acetate
19084912,aluminum aspirin
959420,aluminum carbonate
45775141,aluminum cation
957393,aluminum chloride
985247,aluminum hydroxide
19018438,aluminum magnesium silicate
1145479,aluminum nitrate
19123348,aluminum oxide
19030675,aluminum phosphate
43012256,aluminum silicate
19055136,aluminum subacetate
19030692,aluminum sulfate
42898269,aluminum zirconium tetrachlorohydrex gly
43013265,aluminum zirconium trichlorohydrex gly
19030751,alverine
19059654,alvimopan
19087090,amantadine
787362,ambenonium
42898385,amber
42898386,ambergris
702196,ambrein
1337068,ambrisentan
19088167,ambroxol
19034009,ambroxol-theophylline-7-acetate
930747,amcinonide
19088223,amdinocillin pivoxil
746280,amentoflavone
19030847,amezinium
1350040,amifostine
1790868,amikacin
19066568,amilomer
991382,amiloride
43532237,amiloxate
19112527,aminaphthone
19032424,amineptin
19124969,Amino Acids
1310325,aminocaproate
1503057,aminoglutethimide
924120,aminolevulinate
904351,aminolevulinic acid
1105775,aminophylline
44506771,aminopterin
19125628,aminopyrine
19018481,aminoquinuride
19010337,aminosalicylate
1726228,aminosalicylic acid
1309944,amiodarone
19057607,amisulpride
40170322,amitraz
710062,amitriptyline
957623,amlexanox
1332418,amlodipine
42800417,ammonia
42903733,ammoniac
19126894,ammonium
912362,ammonium chloride
19032612,ammonium phosphate
43012197,ammonium sulfate
712757,amobarbital
19012922,amodiaquine
44506774,amonafide
19032619,amorolfine
746760,amosulalol
713109,amoxapine
1713332,amoxicillin
714785,amphetamine
952045,amphotericin
1717240,amphotericin B
1717327,ampicillin
1789428,amprenavir
19017810,amsacrine
43013954,amyl acetate
1319051,amyl nitrite
919204,amylase
19048016,amylocaine
1381253,anagrelide
1114375,anakinra
1348265,anastrozole
19018070,ancestim
19024544,ancrod
19026277,androstenedione
19032630,anethole
19041226,anethole trithione
42898327,Angelica archangelica root extract
1319232,Angelica sinensis preparation
1735026,angelicin
19026450,anidulafungin
19032662,anileridine
44507464,aniline
19032667,aniracetam
19044890,anistreplase
42903680,annatto extract
951237,antazoline
952538,anthralin
19080406,anti-inhibitor coagulant complex
1301841,"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein"
19136041,antilymphocyte immunoglobulin
42898339,antimony
45775357,antimony cation (5+)
19067810,antimony potassium tartrate
739756,antimony trioxide
44814271,antioxidant 119
1036059,antipyrine
1436169,antithrombin III
19136654,apazone
43013466,apigenin
19013727,apiole
43013024,apixaban
837027,apomorphine
1337331,apple cider vinegar
43531919,apple extract
42904271,apple juice
904205,apple pectin
919986,apraclonidine
44816294,apremilast
936748,aprepitant
42904131,apricot extract
19006969,aprindine
19030299,aprobarbital
19000729,aprotinin
40169416,arabica coffee bean allergenic extract
19101402,arbekacin
43012506,arbutin
42900397,Arctostaphylos uva-ursi leaf extract
19053746,ardeparin
1111220,arformoterol
42900398,argan oil
1322207,argatroban
19006410,arginine
19011039,arginine glutamate
43013470,argon
1735419,arimoclomol
757688,aripiprazole
19090984,armodafinil
919839,Arnica extract
19071833,Arnica montana extract
45892127,aromadendrin
19010961,arsenic
1333379,arsenic trioxide
19033634,artemether
19018511,artesunate
19080512,articaine
19015539,asafetida extract
42898315,Ascophyllum nodosum extract
43013471,ascorbate
40241654,ascorbate manganese
19011773,ascorbic acid
42904198,ascorbyl tetraisopalmitate
40164052,asenapine
45774608,asiatic acid
19033691,asiaticoside
19012585,asparaginase
19011069,asparagine
42898318,aspartame
19052059,aspartate
19012686,aspartic acid
40161048,Aspergillus fumigatus allergenic extract
1112807,aspirin
36920426,Aspirin DL-Lysine
40244281,astaxanthin
1150770,astemizole
1315656,Astragalus preparation
42898661,Astragalus propinquus root extract
1398719,ASTRAGALUS ROOT
1359516,Astragalus root extract
46233931,asunaprevir
1727223,atazanavir
1314002,atenolol
