table,column,block,description,source,source_release,endpoint,dtype,non_null_fraction
ingredient_features.csv,omop_concept_id,identity,OMOP RxNorm Ingredient concept id,OMOP/RxNorm via CEM,"cem_ingredients.csv (local Postgres cem, cem_output.cem_unified)",,Int64,0.9995
ingredient_features.csv,ingredient_name,identity,OMOP concept name for the ingredient,OMOP/RxNorm via CEM,"cem_ingredients.csv (local Postgres cem, cem_output.cem_unified)",,object,1.0
ingredient_features.csv,roster_name,identity,"Name as given in the user's indication roster, where applicable",User-supplied indication roster,"conversation, 2026-09-22",,object,0.0227
ingredient_features.csv,indication,identity,Indication block the drug was listed under in the user's roster,User-supplied indication roster,"conversation, 2026-09-22",,object,0.0227
ingredient_features.csv,source_class,identity,Pharmacologic class as given in the user's roster CSV,User-supplied indication roster,"conversation, 2026-09-22",,object,0.0227
ingredient_features.csv,in_indication_roster,identity,Present in the user's 97-exposure indication roster,Derived in build_features.py,-,-,bool,1.0
ingredient_features.csv,in_cem_list,identity,Present in cem_ingredients.csv,Derived in build_features.py,-,-,bool,1.0
ingredient_features.csv,exposure_type,identity,"drug vs non-drug exposure (ECT, psychotherapy)",User-supplied indication roster,"conversation, 2026-09-22",,object,1.0
ingredient_features.csv,chembl_id,identity,ChEMBL molecule matched by exact normalized name or qualifier-stripped name,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,chembl_parent_id,identity,Parent molecule from ChEMBL molecule_hierarchy (salts resolved to parent),ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,chembl_match_method,identity,How the name was resolved; no fuzzy matches are used here,Derived in build_features.py,-,-,object,0.685
ingredient_features.csv,chembl_match_n_candidates,identity,Number of distinct ChEMBL molecules sharing the matched name key,Derived in build_features.py,-,-,float64,0.6801
ingredient_features.csv,chembl_fuzzy_candidate_id,identity,REVIEW ONLY. Nearest fuzzy name match; NOT used by any feature (high false-positive rate),Derived in build_features.py,-,-,object,0.0159
ingredient_features.csv,chembl_fuzzy_candidate_name,identity,REVIEW ONLY. Preferred name of the fuzzy candidate,Derived in build_features.py,-,-,object,0.0159
ingredient_features.csv,chembl_fuzzy_ratio,identity,REVIEW ONLY. difflib ratio of the fuzzy match,Derived in build_features.py,-,-,float64,0.0159
ingredient_features.csv,max_phase,development,Highest development phase reached (4 = approved; -1 = unknown in ChEMBL),ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.685
ingredient_features.csv,first_approval,development,Year of first regulatory approval,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.4152
ingredient_features.csv,therapeutic_flag,development,Flagged by ChEMBL as a therapeutic (vs diagnostic/reagent),ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,availability_type,development,Raw ChEMBL availability code,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.4713
ingredient_features.csv,dosed_ingredient,development,Appears as a dosed ingredient in a marketed product,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,withdrawn_flag,safety,Withdrawn from market in at least one jurisdiction,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,black_box_warning,safety,ChEMBL black-box warning flag on the molecule,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.685
ingredient_features.csv,prodrug,pharmacology,ChEMBL prodrug flag; requires metabolic activation,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.685
ingredient_features.csv,natural_product,chemistry,ChEMBL natural-product flag,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.685
ingredient_features.csv,molecule_type,chemistry,Small molecule / Protein / Oligosaccharide / ...,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,chirality,chemistry,ChEMBL chirality code,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.685
ingredient_features.csv,inorganic_flag,chemistry,ChEMBL inorganic flag,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.685
ingredient_features.csv,polymer_flag,chemistry,ChEMBL polymer flag,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.685
ingredient_features.csv,oral,exposure,Labelled for oral administration,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,parenteral,exposure,Labelled for parenteral administration,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,topical,exposure,Labelled for topical administration,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.685
ingredient_features.csv,indication_class,pharmacology,ChEMBL free-text indication class,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,float64,0.0
ingredient_features.csv,usan_stem_definition,pharmacology,USAN stem definition (encodes mechanism class from the name),ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,0.3724
