omop_concept_id,ingredient_name,cem_n_conditions,cem_n_faers_pairs,cem_n_semmeddb_pairs,cem_faers_case_count_sum,cem_faers_prr_median
37002917,".alpha.-chlorohydrin, (+/-)-",6.0,0.0,6.0,0.0,
740013,.alpha.-phellandrene,1.0,0.0,1.0,0.0,
1536878,.alpha.-terpinene,1.0,0.0,1.0,0.0,
779197,.beta.-glucogallin,4.0,0.0,4.0,0.0,
1145885,.beta.-ionone,6.0,0.0,6.0,0.0,
42898180,"1,1-difluoroethane",3.0,0.0,3.0,0.0,
1592753,"1,2-dipalmitoylphosphatidylcholine",5.0,0.0,5.0,0.0,
42898186,"1,3-dimethylol-5,5-dimethylhydantoin",1.0,0.0,1.0,0.0,
19097556,1-alpha-vitamin D,9.0,0.0,9.0,0.0,
35605387,1-methylhydantoin,1.0,0.0,1.0,0.0,
914310,1-octacosanol,8.0,1.0,7.0,2.0,
43012215,1-propanol,7.0,7.0,0.0,7.0,986.87229
42898192,1-vinyl-2-pyrrolidone,1.0,0.0,1.0,0.0,
19077143,17-alpha-hydroxyprogesterone,114.0,114.0,0.0,428.0,3.649915
35606080,2'-fucosyllactose,7.0,0.0,7.0,0.0,
35604625,"2,3-dihydroxybenzoic acid",4.0,0.0,4.0,0.0,
37002294,2-butoxyethanol,3.0,0.0,3.0,0.0,
43012195,2-hydroxyethyl methacrylate,31.0,31.0,0.0,57.0,7.95695
1594085,2-ketogluconate,1.0,0.0,1.0,0.0,
45775370,2-mercaptoethanesulfonic acid,18.0,3.0,15.0,4.0,34.13295
37498874,2-methylbutyric acid,1.0,0.0,1.0,0.0,
46221501,"3,3'-diindolylmethane",14.0,4.0,10.0,4.0,45.71888
43531868,3-(triethoxysilyl)propylamine,1.0,0.0,1.0,0.0,
44784654,3-n-butylphthalide,41.0,0.0,41.0,0.0,
1301554,3-phenyl propionic acid,3.0,0.0,3.0,0.0,
1718745,4-(p-hydroxyphenyl)-2-butanone,6.0,0.0,6.0,0.0,
19087067,4-aminobenzoate,4.0,4.0,0.0,4.0,59.83795
19012200,4-aminomethylbenzoic acid,2.0,0.0,2.0,0.0,
19012223,4-dimethylaminophenol,2.0,0.0,2.0,0.0,
46234460,4-hydroxybenzoic acid,2.0,0.0,2.0,0.0,
1510508,4-hydroxybenzyl alcohol,2.0,0.0,2.0,0.0,
42609290,4-hydroxycyclophosphamide,2.0,0.0,2.0,0.0,
42903754,4-methyl-1-(1-methylethyl)-3-cyclohexen-1-ol,1.0,0.0,1.0,0.0,
35604417,4-nonylphenol,7.0,0.0,7.0,0.0,
19121248,4000 CPS,34.0,34.0,0.0,43.0,28.967135
1363516,5-hydroxytryptophan,51.0,51.0,0.0,73.0,4.14571
19018285,5-methoxypsoralen,1.0,1.0,0.0,1.0,
43531881,5-methoxytryptamine,10.0,0.0,10.0,0.0,
42903683,5-methyltetrahydrofolic acid,1.0,0.0,1.0,0.0,
1369939,6-aminocaproic acid,398.0,398.0,0.0,1740.0,1.5192
19080248,ACETIC,5.0,5.0,0.0,5.0,238.16192
747260,"ADAMTS13, recombinant",2.0,0.0,2.0,0.0,
1398719,ASTRAGALUS ROOT,8.0,8.0,0.0,8.0,23.455955000000003
42904012,Aconitum napellus root extract,1.0,0.0,1.0,0.0,
42904062,Adonis vernalis extract,5.0,5.0,0.0,5.0,94.55341
42898420,Aesculus hippocastanum leaf extract,7.0,7.0,0.0,7.0,79.51465
44818465,Aesculus hippocastanum seed oil,15.0,15.0,0.0,15.0,36.83434
40168516,Agkistrodon piscivorus antivenin,124.0,124.0,0.0,304.0,5.11134
21234680,Agomelatine,67.0,0.0,67.0,0.0,
1537395,Aloe emodin,5.0,0.0,5.0,0.0,
35200370,Alpinia officinarum whole extract,6.0,0.0,6.0,0.0,
42898411,Althaea officinalis root extract,1.0,0.0,1.0,0.0,
19124969,Amino Acids,594.0,594.0,0.0,2590.0,1.9481
42898327,Angelica archangelica root extract,7.0,0.0,7.0,0.0,
1319232,Angelica sinensis preparation,3.0,0.0,3.0,0.0,
42900397,Arctostaphylos uva-ursi leaf extract,1.0,0.0,1.0,0.0,
919839,Arnica extract,17.0,17.0,0.0,19.0,48.83753
19071833,Arnica montana extract,8.0,7.0,1.0,8.0,31.63753
42898315,Ascophyllum nodosum extract,1.0,0.0,1.0,0.0,
40161048,Aspergillus fumigatus allergenic extract,1.0,0.0,1.0,0.0,
36920426,Aspirin DL-Lysine,21.0,0.0,21.0,0.0,
1315656,Astragalus preparation,7.0,1.0,6.0,1.0,
42898661,Astragalus propinquus root extract,21.0,0.0,21.0,0.0,
1359516,Astragalus root extract,7.0,3.0,4.0,3.0,157.99189
42898612,Atractylodes lancea root extract,2.0,0.0,2.0,0.0,
42898641,Azadirachta indica flower extract,2.0,0.0,2.0,0.0,
42898642,Azadirachta indica leaf extract,2.0,0.0,2.0,0.0,
35605814,Azadirachta indica whole extract,1.0,0.0,1.0,0.0,
36957394,Aztreonam lysine,1.0,0.0,1.0,0.0,
19015423,BCG Vaccine,236.0,236.0,0.0,510.0,5.472885
19023835,"BCG, live, Connaught strain",372.0,372.0,0.0,2917.0,2.43704
19086176,"BCG, live, Tice strain",256.0,256.0,0.0,704.0,3.837885
42898673,Bacillus coagulans,2.0,2.0,0.0,2.0,215.177345
42903944,Bacillus firmus,93.0,93.0,0.0,93.0,8.00308
42898675,Bacillus subtilis,43.0,43.0,0.0,49.0,11.05959
19011663,Balanced salt solution,26.0,26.0,0.0,108.0,21.96348
42898636,Benincasa hispida fruit extract,1.0,0.0,1.0,0.0,
42904106,Betula pendula leaf extract,3.0,3.0,0.0,3.0,54.41767
45776867,Bifidobacterium animalis,31.0,31.0,0.0,33.0,9.15507
19006764,Bifidobacterium bifidum,109.0,109.0,0.0,152.0,3.95379
19136097,Bifidobacterium infantis,410.0,410.0,0.0,1335.0,2.08802
40242566,Bifidobacterium lactis,150.0,150.0,0.0,267.0,3.228475
40242573,Bifidobacterium longum,169.0,169.0,0.0,294.0,4.64586
19024669,Bioflavonoids,69.0,69.0,0.0,86.0,7.77859
42898515,Bos taurus colostrum preparation,13.0,0.0,13.0,0.0,
44507484,Bos taurus eye preparation,3.0,0.0,3.0,0.0,
42898543,Bos taurus testicle preparation,2.0,0.0,2.0,0.0,
44816307,Bos taurus uterus preparation,1.0,0.0,1.0,0.0,
863819,Botulinum antitoxin,2.0,0.0,2.0,0.0,
863929,Bulevirtide,4.0,0.0,4.0,0.0,
45892906,C1 esterase inhibitor,354.0,354.0,0.0,1988.0,1.25876
19070899,CARBO VEGETABILIS,6.0,6.0,0.0,6.0,24.16516
19071836,Calendula officinalis extract,3.0,0.0,3.0,0.0,
42898562,Camellia oil,1.0,0.0,1.0,0.0,
538530,Candida albicans,13.0,13.0,0.0,15.0,57.28771
42898564,Cannabis sativa seed oil,2.0,2.0,0.0,2.0,454.473095
915553,Capsicum extract,1.0,0.0,1.0,0.0,
19055492,Capsicum oleoresin,3.0,0.0,3.0,0.0,
42898751,Castanea sative leaf extract,1.0,0.0,1.0,0.0,
46275666,Caulerpa lentillifera extract,1.0,0.0,1.0,0.0,
36945987,Cefaclor monohydrate,1.0,0.0,1.0,0.0,
19086554,"Cellulose, Oxidized",19.0,19.0,0.0,21.0,40.04339
42898716,Centella asiatica extract,4.0,0.0,4.0,0.0,
864529,Cerium nitrate,4.0,0.0,4.0,0.0,
42898577,Cervus elaphus horn oil,2.0,0.0,2.0,0.0,
42904058,Chenopodium ambrosioides extract,1.0,0.0,1.0,0.0,
19127637,Chlopheniramine,3.0,3.0,0.0,3.0,22.77515
595252,Cholera Vaccine,2.0,2.0,0.0,2.0,53.916805
864729,Chondroitin,11.0,0.0,11.0,0.0,
43531805,Chondrus preparation,3.0,0.0,3.0,0.0,
42898863,Cinchona bark extract,2.0,0.0,2.0,0.0,
42898943,Clerodendranthus spicatus leaf extract,2.0,0.0,2.0,0.0,
865239,Cochineal,1.0,0.0,1.0,0.0,
42898902,Coix lacryma-jobi seed extract,15.0,15.0,0.0,15.0,28.07842
43012639,Coix lacryma-jobi seed oil,1.0,0.0,1.0,0.0,
19135840,Cold cream,23.0,23.0,0.0,28.0,11.28471
21309252,Colestilan,10.0,0.0,10.0,0.0,
865431,Collodion,5.0,0.0,5.0,0.0,
19071780,Conium maculatum preparation,1.0,0.0,1.0,0.0,
42904067,Convallaria majalis extract,1.0,1.0,0.0,1.0,
19122997,Coral Calcium,273.0,273.0,0.0,633.0,2.42631
42903903,Corallina officinalis extract,1.0,0.0,1.0,0.0,
19070923,Cordyceps sinensis preparation,4.0,0.0,4.0,0.0,
21271882,Corifollitropin alfa,2.0,0.0,2.0,0.0,
19071744,Crotalidae Polyvalent immune Fab,1.0,1.0,0.0,1.0,376.39747
35201207,Crotalidae immune F(ab')2,1.0,0.0,1.0,0.0,
19091110,Cynara preparation,2.0,0.0,2.0,0.0,
42903976,Cynara scolymus leaf extract,1.0,0.0,1.0,0.0,
19080431,D-glucuronic acid,1.0,0.0,1.0,0.0,
19097059,DEXTROSE SOLUTION,6.0,6.0,0.0,6.0,358.988605
21253242,Dapoxetine,4.0,0.0,4.0,0.0,
19060903,Digitalis preparation,5.0,1.0,5.0,1.0,815.91004
21253382,Distigmine bromide,2.0,0.0,2.0,0.0,
1391199,Echinacea angustifolia extract,1.0,0.0,1.0,0.0,
1389112,Echinacea preparation,1.0,1.0,0.0,1.0,
1399063,Echinacea purpurea extract,5.0,5.0,0.0,5.0,91.27658
1359148,Echinacea root extract,1.0,0.0,1.0,0.0,
43560153,Ecklonia cava extract,1.0,0.0,1.0,0.0,
866847,Edotreotide,1.0,0.0,1.0,0.0,
789965,English lavender oil,1.0,0.0,1.0,0.0,
867167,Eptotermin alfa,3.0,0.0,3.0,0.0,
44818471,Equisetum arvense whole extract,1.0,0.0,1.0,0.0,
42899042,Eriobotrya japonica leaf extract,4.0,0.0,4.0,0.0,
19055717,Erwinia asparaginase,56.0,56.0,0.0,83.0,6.243790000000001
19030957,Escherichia coli,50.0,50.0,0.0,52.0,13.160905
45776125,Eucalyptus gum extract,2.0,0.0,2.0,0.0,
1180412,Eucalyptus oil,56.0,56.0,0.0,79.0,6.379055
40162005,European honey bee venom protein,1.0,0.0,1.0,0.0,
19050607,Evans blue,1.0,0.0,1.0,0.0,
19135909,Fat emulsion,120.0,120.0,0.0,208.0,5.0099800000000005
36969314,Favipiravir,31.0,0.0,31.0,0.0,
1305063,Fe heme polypeptide,81.0,81.0,0.0,106.0,4.84048
19135939,Ferrous citrate Fe59,381.0,381.0,0.0,1151.0,2.91425
867834,Filgotinib,13.0,0.0,13.0,0.0,
21197468,Fosfomycin calcium,1.0,0.0,1.0,0.0,
42904025,Fucus vesiculosus extract,1.0,1.0,0.0,1.0,783.95307
21197499,Gadoteric acid,3.0,0.0,3.0,0.0,
46234272,Garcinia mangostana fruit extract,1.0,0.0,1.0,0.0,
42899264,Gardenia jasminoides fruit extract,1.0,0.0,1.0,0.0,
919345,Gentamicin Sulfate (USP),318.0,318.0,0.0,671.0,2.884165
42899190,Gentiana lutea root extract,2.0,0.0,2.0,0.0,
1391889,Ginkgo biloba extract,613.0,613.0,0.0,2325.0,1.83388
19098505,Ginkgo biloba leaf extract,101.0,99.0,3.0,136.0,5.90703
42904152,Ginko biloba leaf oil,284.0,284.0,0.0,701.0,2.370495
43013634,Glycyrrhiza glabra extract,19.0,18.0,1.0,18.0,18.7899
44818475,Glycyrrhiza glabra whole extract,1.0,0.0,1.0,0.0,
42904061,Glycyrrhiza uralensis extract,2.0,0.0,2.0,0.0,
19048700,Haemophilus B Conjugate Vaccine,13.0,13.0,0.0,16.0,96.55471
530007,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine,30.0,30.0,0.0,30.0,103.62047
19113026,Haemophilus influenzae type b,16.0,16.0,0.0,16.0,120.81997
529118,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine",11.0,11.0,0.0,12.0,136.92383
42899155,Hamamelis virginiana leaf extract,12.0,12.0,0.0,12.0,32.867675
43532381,Hekla lava,3.0,3.0,0.0,3.0,82.32216
42903959,Helicobacter pylori,4.0,4.0,0.0,4.0,91.989975
42904103,Helleborus extract,6.0,6.0,0.0,6.0,24.16516
596876,"Hepatitis A Vaccine, Inactivated",26.0,26.0,0.0,38.0,46.54403000000001
42899123,Hippophae rhamnoides seed oil,1.0,0.0,1.0,0.0,
19069195,Homeopathic Remedies,22.0,22.0,0.0,22.0,10.684885
19003476,Horse antihuman thymocyte gamma globulin,79.0,79.0,0.0,128.0,7.98904
798336,Hyaluronan,4.0,4.0,0.0,4.0,62.91426
19088713,"Hyaluronidase, Human",20.0,20.0,0.0,27.0,20.787625
869777,Hydroxyprogesterone,14.0,0.0,14.0,0.0,
19013828,Hyoscyamus extract,2.0,2.0,0.0,2.0,115.54325
42899137,Hyoscyamus niger extract,1.0,0.0,1.0,0.0,
42899139,Hypericum extract,80.0,80.0,0.0,107.0,5.8221050000000005
42904117,Hypericum oil,81.0,81.0,0.0,137.0,5.59531
42899140,Hypericum perforatum leaf extract,37.0,37.0,0.0,44.0,16.67131
19097452,IGNATIA,14.0,14.0,0.0,14.0,90.06945
19113756,Ibadronate,608.0,608.0,0.0,3027.0,1.61271
36952556,Ibuprofen sodium dihydrate,1.0,0.0,1.0,0.0,
35895248,Imlifidase,1.0,0.0,1.0,0.0,
869960,Immunoglobulin human,66.0,0.0,66.0,0.0,
40164866,"Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007, IVR-148 (H1N1) strain",305.0,305.0,0.0,663.0,3.51466
19121608,Influenza virus vaccine,1302.0,1302.0,0.0,10555.0,1.59772
19122121,Insulin,2423.0,2423.0,0.0,82150.0,1.0332
19113574,Interferon-alpha,61.0,61.0,0.0,92.0,6.39011
42899525,Irvingia gabonensis seed extract,1.0,0.0,1.0,0.0,
42899526,Isatis tinctoria root extract,1.0,0.0,1.0,0.0,
19122349,Isoflavones,21.0,21.0,0.0,23.0,7.47696
19047598,"Japanese encephalitis virus vaccine, inactivated",6.0,6.0,0.0,11.0,29.087025
42903987,Juglans regia leaf extract,2.0,0.0,2.0,0.0,
19123246,Juniperus communis whole extract,1.0,0.0,1.0,0.0,
42899506,Kaempferia galanga root extract,2.0,0.0,2.0,0.0,
42899432,Klebsiella pneumoniae,1.0,1.0,0.0,1.0,403.08151
19098765,Korean ginseng preparation,39.0,0.0,39.0,0.0,
19099102,Korean ginseng root,8.0,8.0,0.0,8.0,129.10301
19098769,Korean ginseng root extract,1.0,0.0,1.0,0.0,
871216,L-Ornithine-L-Aspartate,1.0,0.0,1.0,0.0,
19048046,L-methylfolate,283.0,283.0,0.0,728.0,2.5886
529114,"L1 protein, human papillomavirus type 18 vaccine",34.0,34.0,0.0,83.0,16.334365
45892478,"L1 protein, human papillomavirus type 58 vaccine",9.0,9.0,0.0,9.0,86.01597
529116,"L1 protein, human papillomavirus type 6 vaccine",160.0,160.0,0.0,364.0,4.3313299999999995
19080470,LICORICE EXTRACT,2.0,2.0,0.0,4.0,239.097005
42899437,Lachesis muta venom,2.0,2.0,0.0,2.0,441.98831
19098979,Lactated Ringer's Solution,405.0,405.0,0.0,1274.0,2.42639
