target,spearman_rho,rmse,n_train,n_test,domain_coverage,skipped
5HT2A,0.7362607960426278,0.9077822104895894,6092,1195,0.9221757322175732,False
5HT2B,0.48899357164629564,0.8448382992450116,2092,390,0.823076923076923,False
COX1,0.3376963507566109,0.8126037847582318,1690,288,0.7222222222222222,False
D2,0.6668318474826042,0.8268573466864036,9264,1847,0.9767190037899296,False
H1,0.7955681508065868,0.7817662214173826,1710,275,0.8945454545454545,False
M1,0.7523931954996214,0.8145163932780597,2799,558,0.931899641577061,False
M3,0.8359454913046571,0.8867038287426665,2635,629,0.9300476947535771,False
Nav1.5,0.5711722788008734,0.5894701978982883,1424,229,0.9170305676855895,False
SERT,0.7006304975734986,0.8526294807097007,5361,1016,0.9645669291338582,False
alpha1A,0.73641047915956,0.879870898884951,1989,449,0.9153674832962138,False
beta1,0.8206798603637306,0.7859511227731203,1525,261,0.9501915708812261,False
hERG,0.5159908845953481,0.6532993996092176,11024,2051,0.8985860555826426,False
