offtarget,rate_hi,rate_lo,diff,n_hi,n_lo
5HT2A,0.16666666666666666,0.14285714285714285,0.023809523809523808,12,21
5HT2B,0.10810810810810811,0.15335463258785942,-0.045246524479751304,74,313
COX1,0.125,0.1505708848715509,-0.025570884871550903,64,4204
D2,0.0703125,0.12393162393162394,-0.053619123931623935,256,234
M1,0.09868421052631579,0.09836065573770492,0.0003235547886108747,152,305
M3,0.0425531914893617,0.03896103896103896,0.003592152528322741,47,77
Nav1.5,0.0,0.13333333333333333,-0.13333333333333333,5,30
SERT,0.09375,0.05084745762711865,0.04290254237288135,32,59
alpha1A,0.022222222222222223,0.0379746835443038,-0.015752461322081576,45,79
beta1,0.03333333333333333,0.06,-0.026666666666666665,60,50
hERG,0.0,0.17359413202933985,-0.17359413202933985,17,409
